Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Area Sales Manager,"Rourkela, Odisha",Full Time,Enterprise & B2B Sales Department,8 Aug 2023,4.0,4.0,4.0,3.0,4.0,4.0,1.0,Product and services are good,Nothing
"Sales Coordinator, Supply Chain Management",Kolkata,Full Time,Back Office Department,3 Sep 2023,2.0,1.0,1.0,5.0,1.0,1.0,1.0,Only Salary on time.,Every thing other than salary.
Deputy Manager,"Metro House, Vanivihar Chowk, Sahid Nagar, Bhubaneswar",Full Time,Retail & B2C Sales Department,6 May 2023,5.0,4.0,3.0,5.0,5.0,4.0,1.0,Bajaj Electricals is leader in market and work culture is very good.,Promotion in appraisal process is very bad.
Senior Engineer,"Gangtok, Sikkim",Full Time,Construction / Manufacturing Department,1 Sep 2023,5.0,5.0,4.0,5.0,4.0,4.0,3.0,Their HR policies,Corporate Politics
Trade Sales Manager,"Ranchi, Jharkhand",Full Time,Retail & B2C Sales Department,5 May 2023,3.0,3.0,4.0,3.0,4.0,3.0,4.0,Seniors are good teammates are very supporting .,Work pressure is very high & no work - life balance .
Planning Engineer-Project Construction,"Patna, Bihar",Full Time,Power Supply and Distribution Department,8 Aug 2023,5.0,2.0,4.0,5.0,3.0,4.0,4.0,Salary structure,Work life balance is poor at site
Store & Purchase Officer   (working remotely),,Full Time,Back Office Department,9 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Yes like, I am interested",I am interested
Manager EPC Project Procurement,Mumbai,Full Time,Procurement & Purchase Department,2 Jan 2023,5.0,5.0,3.0,5.0,4.0,5.0,4.0,You feel valued and that's the most important thing. The management constantly thrives to improve your working environment. The HR also reviews its policies to make it employee friendly. Most importantly the top management is easily accessible.,Nothing like
Commercial Officer,"Varanasi, Uttar Pradesh",Contractual,Finance Department,9 Jun 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Salary growth zero% for contractual staff,"Work culture
Team management
Equal opportunity"
Specialist (Sr. Manager -LCM),Mumbai,Full Time,Engineering & Manufacturing Department,1 May 2023,5.0,5.0,5.0,4.0,4.0,5.0,4.0,Processes not yet streamline,Promotion & increment is good.
