Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Import Executive,"Gurgaon/Gurugram, Haryana",Full Time,SCM & Logistics Department,2 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nice company and good overall,Admit is not good
Junior Engineer,Neemrana,Full Time,Production & Manufacturing Department,5 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,everything is good,nothing to be disliked
Senior Warehouse Engineer,Neemrana,Full Time,SCM & Logistics Department,1 May 2023,4.0,5.0,3.0,4.0,5.0,4.0,3.0,Work life balance,"Appraisal, promotions and learning"
Quality Controller,Neemrana,Full Time,Quality Assurance and Testing Department,2 Apr 2023,4.0,5.0,3.0,3.0,5.0,5.0,1.0,Good environment and facilities.,Salary increase at low rate and low appraisal.
Am Human Resource,Neemrana,Full Time,HR Operations Department,4 Jul 2023,4.0,4.0,3.0,3.0,5.0,4.0,3.0,Job stability,6 day working
Deputy Manager,"Ranchi, Jharkhand",Full Time,BD / Pre Sales Department,9 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,working culture is very good,Nothing
Junior Engineer,Neemrana,Full Time,Engineering Department,4 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything All is good in Daikin,Nothing it is very good company
Deputy Manager- Finance,Neemrana,Full Time,Finance Department,0 Mar 2023,2.0,4.0,2.0,2.0,4.0,1.0,1.0,Only Job Security and Work Life Balance,"No self respect, company working culture is poor, no correct appraisals"
R&d Engineer,Neemrana,Full Time,Engineering & Manufacturing Department,5 Apr 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"Like it
Working culture is so good.","Rural area
So I want to change."
Diploma Engineer,New Delhi,Full Time,Engineering Department,6 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,My work experiences is all good,No any dislike activity in  office
Management Trainee,"Jamnagar, Gujarat",Full Time,Enterprise & B2B Sales Department,0 May 2023,4.0,5.0,5.0,4.0,5.0,5.0,3.0,Work life balance,Compensation and appraisals
Sr Mechanical Design Engineer,"Neemrana, Rajasthan",Full Time,Engineering & Manufacturing Department,3 Jun 2023,4.0,5.0,4.0,4.0,5.0,4.0,3.0,Over all,Salary and benefits
Junior Mechanical Engineer,"Neemrana, Rajasthan",Full Time,Engineering & Manufacturing Department,3 May 2023,3.0,3.0,2.0,2.0,5.0,2.0,2.0,Job secure,Career and salary growth very slow
Sales Manager,"Kochi, Kerala",Full Time,HVAV Department,6 May 2023,4.0,4.0,5.0,4.0,3.0,3.0,3.0,Good Product and Good Management,Very less chance for Promotion
Ac Technical,"Bhopal, Madhya Pradesh",Full Time,Corporate Training Department,8 Jun 2023,3.0,5.0,5.0,5.0,3.0,3.0,5.0,Haa  bhuje pasand h,No
Service Engineer,"Hyderabad/Secunderabad, Telangana",Full Time,Service Delivery Department,3 Apr 2023,3.0,3.0,4.0,3.0,4.0,4.0,4.0,Having a nice team.,Not giving the work place as near to home town.
Junior Engineer,Neemrana,Full Time,Quality Assurance and Testing Department,6 May 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Company atmosphere is too good,Growth was so slow
Spare Parts Incharge,Neemrana,Full Time,After Sales Service & Repair Department,0 Mar 2023,4.0,4.0,5.0,4.0,5.0,4.0,4.0,Good environment and multiple learning options available,Nothing
Store Management,Neemrana,Full Time,Administration & Staff Department,6 Apr 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Company is good,Ac bus not provide in transport
Assistant Engineer In Production With 7.10 Yr's Experience.,Neemrana,Full Time,Production & Manufacturing Department,7 Mar 2023,4.0,4.0,4.0,1.0,5.0,4.0,1.0,Rules & regulations,Salary structure for the bottom of the employee & there salary growth is very low.
Quality Inspector,"Neemrana, Rajasthan",Full Time,Production & Manufacturing Department,1 May 2023,5.0,4.0,5.0,3.0,5.0,5.0,2.0,Inspection According to drawings,No any work dislike
Junior Engineer,Neeeemrana,Full Time,Business Process Quality Department,4 Apr 2023,4.0,4.0,3.0,3.0,4.0,4.0,3.0,Working environment is quite good but salary is average.,Nothing to say it's ok to work in daikin
Embedded Software Engineer,"Neemrana, Rajasthan",Full Time,Engineering & Manufacturing Department,9 Jun 2023,5.0,3.0,4.0,4.0,5.0,4.0,3.0,Japanese culture,I have nothing for dislikes
Junior Engineer,"Neemrana, Rajasthan",Full Time,Quality Assurance and Testing Department,6 Mar 2023,5.0,5.0,4.0,3.0,5.0,4.0,3.0,Good learning culture and management behavior is good,Growth are very slow
Assistant Manager Operations,"Sri City, Andhra Pradesh",Full Time,Production & Manufacturing Department,5 Aug 2023,5.0,5.0,5.0,3.0,5.0,5.0,4.0,I am very satisfied,No
Production Engineenring Manager,Neemrana,Full Time,Engineering Department,0 May 2023,5.0,5.0,4.0,4.0,4.0,5.0,4.0,Product Quality very good,High Inventory
